@relation futbol
@attribute qEquiposLiga real
@attribute qEquiposMundial real
@attribute posLigaLocal real
@attribute puntosLocal real
@attribute plantillaLocal real
@attribute capacidadEstadioLocal real
@attribute posiciónRankingLocal real
@attribute rojasLocal real
@attribute golesFavorLocal real
@attribute golesEncajadosLocal real
@attribute partidosMesLocal real
@attribute promEdadLocal real
@attribute posLigaVisita real
@attribute puntosVisita real
@attribute plantillaVisita real
@attribute capacidadEstadioVisita real
@attribute posiciónRankingVisita real
@attribute rojasVisita real
@attribute golesFavorVisita real
@attribute golesEncajadosVisita real
@attribute partidosMesVisita real
@attribute promEdadVisita real
@attribute resultado {L, E, V}
@data
1.0000,0.8150,1.0000,0.6667,0.3659,0.9365,0.9977,1.0000,0.3636,0.2500,0.3077,0.2984,0.2632,0.3333,0.2424,0.3285,0.2051,1.0000,0.1739,0.3333,0.2500,0.5447,L
1.0000,0.8150,1.0000,0.8667,0.3659,0.9365,0.9977,1.0000,0.4091,0.1250,0.3077,0.2984,0.4737,0.2000,0.1818,0.2176,0.7879,1.0000,0.1304,0.4000,0.2500,0.4441,L
1.0000,0.8238,1.0000,0.8667,0.3659,0.9365,1.0000,1.0000,0.5455,0.2500,0.1538,0.2984,0.0000,0.3333,0.2121,0.1758,0.3730,1.0000,0.2609,0.5333,0.0833,0.4274,L
1.0000,0.8238,1.0000,0.6667,0.3659,0.9365,1.0000,1.0000,0.4545,0.2500,0.3077,0.2984,0.2105,0.4000,0.2424,0.2824,0.0932,0.5000,0.4348,0.4667,0.0833,0.8338,L
1.0000,0.8590,1.0000,0.4667,0.3659,0.9365,1.0000,1.0000,0.2727,0.2500,0.4615,0.2984,0.6316,0.3333,0.3030,0.3903,0.1818,1.0000,0.2174,0.4000,0.1667,0.3003,L
1.0000,0.8590,1.0000,0.5333,0.3659,0.9365,1.0000,1.0000,0.3182,0.2500,0.4615,0.2984,0.1579,0.4667,0.3030,0.3390,0.4289,1.0000,0.2609,0.3333,0.2500,0.6131,E
1.0000,0.6388,0.8421,0.8667,0.2195,0.7506,0.9837,1.0000,0.5909,0.1250,0.2308,0.2864,0.0526,0.2000,0.3030,0.3390,0.2797,0.5000,0.0870,0.3333,0.1667,0.6131,L
1.0000,0.9515,1.0000,0.8667,0.2195,0.7506,0.9837,1.0000,0.5909,0.1250,0.2308,0.2864,0.2105,0.4667,0.3333,0.2761,0.4895,1.0000,0.1739,0.2667,0.1667,0.5363,L
1.0000,0.9515,1.0000,0.7333,0.2195,0.7506,0.9814,1.0000,0.5909,0.2500,0.3077,0.2864,0.7368,0.8000,0.0909,0.5420,0.9907,1.0000,0.4783,0.2667,0.3333,0.3966,L
1.0000,0.9515,1.0000,0.8667,0.2195,0.7506,0.9814,1.0000,0.5909,0.2500,0.3846,0.2864,0.6316,0.8000,0.2121,0.4060,0.5245,0.0000,0.3478,0.2667,0.3333,0.3925,L
1.0000,0.9515,0.9474,0.8000,0.2195,0.7506,0.9767,0.5000,0.6818,0.4375,0.3077,0.2864,0.7895,0.8667,0.3030,0.5420,0.9557,1.0000,0.6522,0.2667,0.1667,0.5866,L
1.0000,0.9515,0.9474,0.8000,0.2195,0.7506,0.9767,1.0000,0.5909,0.3750,0.3077,0.2864,0.4737,0.0667,0.2727,0.4426,0.9114,0.5000,0.2609,0.8667,0.3333,0.4707,L
1.0000,0.9515,0.9474,0.8000,0.2195,0.7506,0.9930,0.5000,0.6818,0.3125,0.2308,0.2864,0.8947,0.8667,0.0000,0.2538,0.9604,1.0000,0.4783,0.2667,0.3333,0.4385,L
1.0000,0.9515,0.9474,0.6000,0.2195,0.7506,0.9930,1.0000,0.4091,0.3750,0.3077,0.2864,0.5789,0.4000,0.1515,0.2087,0.3520,0.5000,0.5652,0.8000,0.1667,0.4860,L
1.0000,0.9515,0.9474,0.8000,0.2195,0.7506,0.9953,1.0000,0.2273,0.0625,0.5385,0.2864,0.5789,0.4000,0.1515,0.3034,0.0909,1.0000,0.4348,0.4667,0.1667,0.5140,L
1.0000,0.9515,0.9474,0.8000,0.2195,0.7506,0.9953,0.5000,0.3636,0.1250,0.3846,0.2864,0.2632,0.6000,0.3333,0.2318,0.0909,1.0000,0.2174,0.3333,0.1667,0.6634,L
