@relation SISPPAFUT
@attribute qEquiposLiga numeric
@attribute mes numeric
@attribute Local_PosLiga numeric
@attribute Local_Pts numeric
@attribute Local {True, False}
@attribute Local_PosRankMund numeric
@attribute Local_qExpulsados numeric
@attribute Local_qSuspendidos numeric
@attribute Local_GolesAnotados numeric
@attribute Local_GolesEncajados numeric
@attribute Local_PromEdad real
@attribute Local_qPartidosMes numeric
@attribute Visita_PosLiga numeric
@attribute Visita_Pts numeric
@attribute Visita {True, False}
@attribute Visita_PosRankMund numeric
@attribute Visita_qExpulsados numeric
@attribute Visita_qSuspendidos numeric
@attribute Visita_GolesAnotados numeric
@attribute Visita_GolesEncajados numeric
@attribute Visita_PromEdad real
@attribute Visita_qPartidosMes numeric
@attribute resultado {L, E, V}
@data
20,10,13,5,True,348,0,0,4,4,28.36,4,12,6,False,348,1,0,11,11,29.27,4,E
20,10,14,4,True,293,0,0,3,5,31.82,4,18,4,False,348,0,0,4,10,30.09,4,E
20,10,3,12,True,2,1,0,9,4,28.82,4,11,7,False,195,0,0,4,5,29.36,4,E
20,10,2,11,True,8,0,0,6,1,27.45,4,14,3,False,310,1,0,2,5,28.64,4,L
20,10,4,10,True,2,0,0,7,5,28.82,4,1,13,False,24,0,0,8,3,31.09,4,L
20,10,11,4,True,159,0,0,8,9,27.27,4,19,2,False,348,1,0,5,10,28.82,4,L
20,10,16,5,True,348,0,1,6,7,29.00,4,5,8,False,25,0,0,6,5,30.36,4,L
20,10,7,7,True,6,0,0,6,7,28.91,4,6,10,False,79,0,0,10,5,28.18,4,L
20,10,12,7,True,348,1,0,5,5,31.55,4,2,15,False,33,0,0,12,3,29.64,4,E
20,10,18,4,True,220,0,0,3,5,28.73,4,14,5,False,348,0,0,5,5,28.36,4,L
20,10,10,7,True,348,0,0,11,9,29.27,4,3,13,False,8,0,0,12,2,27.45,4,V
20,10,20,2,True,310,0,0,3,11,28.64,4,15,4,False,293,0,1,4,6,31.82,4,E
20,10,17,5,True,348,0,0,4,7,30.09,4,13,4,False,348,0,0,5,9,28.45,4,L
20,10,9,7,True,195,0,0,5,6,29.36,4,8,6,False,338,0,0,2,8,26.64,4,V
20,10,4,10,True,24,0,0,8,5,31.09,3,17,7,False,195,0,0,5,5,29.36,3,V
20,10,20,2,True,348,1,0,3,7,28.82,3,3,13,False,2,0,0,9,4,28.82,3,V
20,10,7,7,True,25,0,0,6,7,30.36,3,8,7,False,159,0,0,9,8,27.27,3,L
20,10,9,7,True,79,0,0,6,6,28.18,3,12,5,False,348,0,1,6,7,29.00,3,L
20,10,2,13,True,33,2,0,10,5,29.64,3,5,7,False,6,0,0,6,6,28.91,3,L
20,10,17,4,True,348,0,0,3,4,28.36,3,10,5,False,348,1,0,5,7,31.55,3,E
20,10,1,13,True,8,0,0,15,3,27.45,3,16,7,False,220,0,0,4,4,28.73,4,L
20,10,18,5,True,293,1,1,4,5,31.82,3,14,4,False,348,0,1,7,10,29.27,3,L
20,10,15,3,True,348,0,0,4,9,28.45,3,19,2,False,310,0,1,3,11,28.64,3,L
20,10,6,9,True,338,0,1,3,4,26.64,3,13,8,False,348,0,0,5,4,30.09,3,L
20,10,4,7,True,24,0,0,7,6,31.09,3,20,2,False,348,0,0,3,7,28.82,3,E
20,10,13,6,True,348,0,0,5,6,31.55,3,1,13,False,8,0,0,19,3,27.45,3,V
20,10,3,13,True,2,0,0,9,3,28.82,3,6,7,False,25,1,0,8,9,30.36,3,L
20,10,14,4,True,348,0,1,4,8,29.00,3,2,13,False,33,0,0,10,4,29.64,3,E
20,10,18,4,True,220,0,0,3,10,28.73,3,12,8,False,293,0,1,7,3,31.82,3,L
20,10,17,4,True,348,0,1,6,11,29.27,3,11,6,False,348,0,0,6,7,28.45,3,V
20,10,19,1,True,310,0,1,1,12,28.64,3,5,9,False,338,0,1,4,5,26.64,3,L
20,10,8,7,True,6,0,0,5,6,28.91,3,16,5,False,348,0,0,4,4,28.36,3,E
20,10,10,6,True,159,0,0,10,10,27.27,3,7,9,False,79,0,0,7,4,28.18,3,L
20,11,9,7,True,184,0,0,5,6,29.36,3,15,8,False,348,1,0,5,4,30.09,3,L
20,11,11,9,True,348,0,0,7,5,28.45,3,12,6,False,189,0,0,6,10,28.73,3,L
20,11,5,9,True,271,0,1,4,5,26.64,3,18,1,False,348,0,1,5,13,29.27,3,L
20,11,20,2,True,348,1,0,4,8,28.82,3,7,10,False,184,0,0,7,4,29.36,3,L
20,11,3,11,True,45,1,0,10,5,29.64,3,9,6,False,204,0,0,10,10,27.27,3,L
20,11,16,6,True,348,0,0,5,4,28.36,3,15,5,False,348,0,1,5,8,29.00,3,E
20,11,13,5,True,280,0,1,5,6,31.82,3,14,5,False,348,0,0,6,9,31.55,3,L
20,11,17,5,True,348,0,0,5,6,30.09,3,19,4,False,341,0,1,4,11,28.64,3,V
20,11,10,9,True,348,0,0,7,5,28.18,3,2,13,False,1,0,0,13,3,28.82,3,V
20,11,1,13,True,9,0,0,19,4,27.45,3,6,7,False,5,0,1,5,6,28.91,3,L
20,11,8,6,True,24,1,0,7,13,30.36,3,4,7,False,13,0,0,7,6,31.09,3,L
20,11,10,6,True,204,1,2,10,11,27.27,4,16,4,False,348,0,0,4,5,28.36,4,L
20,11,8,4,True,5,0,1,4,8,28.91,4,12,8,False,280,0,1,8,5,31.82,4,L
20,11,2,13,True,1,1,1,13,3,28.82,4,3,11,False,45,0,0,11,4,29.64,4,L
20,11,19,5,True,348,0,0,7,9,28.82,4,6,9,False,24,0,0,9,11,30.36,4,V
20,11,17,2,True,348,0,1,4,12,31.55,4,7,12,False,348,0,0,8,3,28.45,4,L
20,11,14,6,True,189,0,0,6,10,28.73,4,4,9,False,271,0,1,4,5,26.64,4,E
20,11,20,1,True,348,0,1,3,11,29.27,4,18,4,False,348,0,1,6,8,30.09,4,L
20,11,9,7,True,184,0,0,7,7,29.36,4,15,7,False,341,0,1,6,10,28.64,4,E
20,11,13,6,True,348,0,1,6,7,29.00,4,1,15,False,9,0,0,21,4,27.45,4,V
20,11,5,4,True,13,1,0,5,8,31.09,4,11,6,False,348,0,1,7,8,28.18,4,L
20,11,3,8,True,45,0,1,10,7,29.64,4,4,4,False,13,0,1,5,7,31.09,4,E
20,11,18,3,True,348,0,0,3,5,28.36,4,2,15,False,1,0,1,15,3,28.82,4,V
20,11,1,15,True,9,0,0,16,3,27.45,4,8,9,False,204,2,2,10,9,27.27,4,L
20,11,12,7,True,280,1,1,7,7,31.82,4,17,5,False,348,1,2,4,6,29.00,4,L
20,11,6,10,True,271,0,1,4,4,26.64,4,13,5,False,348,0,1,6,10,31.55,4,L
20,11,19,3,True,348,0,1,5,8,30.09,4,14,7,False,189,0,0,6,8,28.73,4,L
20,11,15,8,True,341,0,1,5,4,28.64,4,16,3,False,348,0,1,3,10,29.27,4,L
20,11,5,9,True,24,1,0,8,11,30.36,4,10,7,False,184,0,0,6,6,29.36,4,V
20,11,9,9,True,348,0,0,8,5,28.45,4,7,7,False,5,0,1,6,5,28.91,4,V
20,11,11,3,True,348,0,1,4,10,28.18,4,20,4,False,348,0,1,6,9,28.82,4,E
20,11,20,5,True,348,1,1,6,8,28.82,4,3,8,False,45,0,0,9,6,29.64,4,V
20,11,7,9,True,24,0,0,9,11,30.36,4,12,4,False,348,0,2,5,9,28.18,4,V
20,11,6,7,True,5,0,1,8,7,28.91,4,4,10,False,271,0,0,6,4,26.64,4,V
20,11,17,2,True,348,0,2,2,7,29.00,4,9,9,False,348,0,0,9,7,28.45,4,V
20,11,14,4,True,348,0,1,4,11,31.55,4,15,3,False,348,0,1,6,8,30.09,4,L
20,11,16,4,True,189,1,1,6,11,28.73,4,13,10,False,341,0,1,8,4,28.64,4,L
20,11,8,10,True,184,0,0,8,6,29.36,4,18,3,False,348,0,2,2,9,29.27,4,L
20,11,10,6,True,204,0,2,9,13,27.27,4,11,9,False,280,0,0,8,7,31.82,4,L
20,11,5,5,True,13,1,2,5,6,31.09,4,19,3,False,348,0,1,3,12,28.36,4,L
